1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
25,11,9,5,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
25,11,9,5,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
25,11,9,5,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
25,11,9,5,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
26,11,9,5,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
26,11,9,5,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
26,11,9,5,4,3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
26,11,9,5,4,3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
26,11,9,6,5,3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
26,12,9,6,6,3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
26,12,9,6,6,3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
26,12,9,6,6,3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
26,12,9,6,6,3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
26,12,9,6,6,3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
27,12,9,6,6,3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
27,12,9,6,6,3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
27,12,9,6,6,3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
27,12,9,6,6,3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
27,12,9,6,6,3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
27,12,9,6,6,3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
27,12,9,6,6,3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
27,12,9,6,6,3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
27,12,9,6,6,3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
28,12,9,6,6,3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
28,12,9,6,6,3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
28,12,9,6,6,3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
28,12,9,6,6,3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
28,12,10,6,6,4,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
28,13,10,6,6,4,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
28,13,10,6,6,4,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
28,13,10,6,6,4,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
28,13,10,6,6,4,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
29,13,10,6,6,4,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
29,13,10,6,6,4,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
29,13,10,6,6,4,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
29,13,10,6,6,4,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
29,13,10,6,6,4,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
29,13,10,6,6,4,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
29,13,10,6,6,4,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
29,13,10,6,6,4,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
29,13,10,6,6,4,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
30,13,10,6,6,4,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
30,13,10,6,6,4,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
30,13,10,6,6,4,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
30,13,10,6,6,4,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
30,13,10,6,6,4,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
30,14,10,7,6,4,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
30,14,10,7,6,4,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
30,14,10,7,6,4,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
30,14,10,7,6,4,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
30,14,10,7,6,4,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
30,14,10,7,6,4,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
30,14,10,7,6,4,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
30,14,10,7,6,4,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
31,14,10,7,6,4,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
31,14,11,7,7,4,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
31,14,11,7,7,4,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
31,14,11,7,7,4,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
31,14,11,7,7,4,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
31,14,11,7,7,4,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
31,14,11,7,7,4,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
31,14,11,7,7,4,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
31,14,11,7,7,4,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
31,14,11,7,7,4,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
32,14,11,7,7,4,3,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
32,15,11,7,7,4,3,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
32,15,11,7,7,4,3,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
32,15,11,7,7,4,3,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
32,15,11,7,7,4,3,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
32,15,11,7,7,4,3,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
32,15,11,7,7,4,3,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
32,15,11,7,7,4,3,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
32,15,11,7,7,4,3,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
33,15,11,7,7,4,3,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
33,15,11,7,7,4,3,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
33,15,11,7,7,4,3,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
33,15,11,7,7,4,3,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
33,15,11,7,7,4,3,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
33,15,11,7,7,4,3,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
33,15,11,7,7,4,3,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,0,0,0,1,1,0,0
33,15,11,7,7,4,3,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,0,0,0,1,1,0,0
33,15,11,7,7,4,3,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,0,0,0,1,1,0,0
33,15,11,7,7,4,3,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,0,0,0,1,1,0,0
34,15,12,8,7,5,3,2,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,0,0,0,1,1,0,0
34,16,12,8,7,5,3,2,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,0,0,0,1,1,0,0
34,16,12,8,7,5,3,2,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,0,0,0,1,1,0,0
34,16,12,8,7,5,3,2,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,0,0,0,1,1,0,0
34,16,12,8,7,5,3,2,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,0,0,0,1,1,0,0
34,16,12,8,7,5,3,2,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,0,0,0,1,1,0,0
34,16,12,8,7,5,3,2,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,0,0,0,1,1,0,0
34,16,12,8,7,5,3,2,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,0,0,0,1,1,0,0
34,16,12,8,7,5,3,2,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,0,0,0,1,1,0,0
34,16,12,8,7,5,3,2,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,0,0,0,1,1,0,0
35,16,12,8,7,5,3,2,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,0,0,0,1,1,0,0
35,16,12,8,7,5,3,2,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,0,0,0,1,1,0,0
35,16,12,8,7,5,3,2,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,0,0,0,1,1,0,0
35,16,12,8,7,5,3,2,1,2,1,2,1,1,1,1,2,1,2,1,1,1,1,0,0,0,1,1,0,0
35,16,12,8,7,5,3,2,1,2,1,2,1,1,1,1,2,1,2,1,1,1,1,0,0,0,1,1,0,0
35,16,12,8,7,5,3,2,1,2,1,2,1,1,1,1,2,1,2,1,1,1,1,0,0,0,1,1,0,0
35,16,12,8,7,5,3,2,1,2,1,2,1,1,1,1,2,1,2,1,1,1,1,0,0,0,1,1,0,0
35,16,12,8,7,5,3,2,1,2,1,2,1,1,1,1,2,1,2,1,1,1,1,0,0,0,1,1,0,0
35,16,12,8,7,5,3,2,2,2,1,2,1,1,1,1,2,1,2,1,1,1,1,0,0,0,1,1,0,0
35,17,12,8,8,5,3,2,2,2,1,2,1,1,1,1,2,1,2,1,1,1,1,0,0,0,1,1,0,0
36,17,12,8,8,5,3,2,2,2,1,2,1,1,1,1,2,1,2,1,1,1,1,0,0,0,1,1,0,0
36,17,12,8,8,5,3,2,2,2,1,2,1,1,1,1,2,1,2,1,1,1,1,0,0,0,1,1,0,0
36,17,12,8,8,5,3,2,2,2,1,2,1,1,1,2,2,1,2,1,1,1,1,0,0,0,1,1,0,0
36,17,12,8,8,5,3,2,2,2,1,2,1,1,1,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
36,17,12,8,8,5,3,2,2,2,1,2,1,1,1,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
36,17,12,8,8,5,3,2,2,2,1,2,1,1,1,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
36,17,12,8,8,5,3,2,2,2,1,2,1,1,1,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
36,17,12,8,8,5,3,2,2,2,1,2,1,1,1,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
36,17,13,8,8,5,3,2,2,2,1,2,1,1,1,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
37,17,13,8,8,5,3,2,2,2,1,2,1,1,1,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
37,17,13,8,8,5,3,2,2,2,1,2,1,1,1,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
37,17,13,8,8,5,3,2,2,2,1,2,1,1,1,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
37,17,13,8,8,5,3,2,2,2,1,2,1,1,1,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
37,17,13,8,8,5,3,3,2,2,1,2,1,1,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
37,17,13,8,8,5,3,3,2,2,1,2,1,1,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
37,17,13,8,8,5,3,3,2,2,1,2,1,1,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
37,17,13,8,8,5,3,3,2,2,1,2,1,1,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
37,17,13,9,8,5,3,3,2,2,1,2,1,1,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
38,18,13,9,8,5,3,3,2,2,1,2,1,1,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
38,18,13,9,8,5,3,3,2,2,1,2,1,1,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
38,18,13,9,8,5,3,3,2,2,1,2,1,1,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
38,18,13,9,8,5,3,3,2,2,1,2,1,1,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
38,18,13,9,8,5,3,3,2,2,1,2,1,1,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
38,18,13,9,8,5,3,3,2,2,1,2,1,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
38,18,13,9,8,5,3,3,2,2,1,2,1,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
38,18,13,9,8,5,3,3,2,2,1,2,1,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
38,18,13,9,8,5,3,3,2,2,1,2,1,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
38,18,13,9,8,5,3,3,2,2,1,2,1,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
39,18,13,9,8,5,3,3,2,2,1,2,1,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
39,18,13,9,8,5,3,3,2,2,1,2,1,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
39,18,13,9,8,5,3,3,2,2,1,2,1,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
39,18,13,9,8,5,3,3,2,2,1,2,1,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
39,18,13,9,8,5,3,3,2,2,1,2,1,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
39,18,13,9,8,5,3,3,2,2,1,2,1,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
39,18,13,9,8,5,3,3,2,2,1,2,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
39,18,13,9,8,5,3,3,2,2,1,2,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
39,19,14,9,8,5,3,3,2,2,1,2,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
40,19,14,9,8,6,3,3,2,2,1,2,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
40,19,14,9,8,6,3,3,2,2,1,2,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
40,19,14,9,8,6,3,3,2,2,1,2,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
40,19,14,9,8,6,3,3,2,2,1,2,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
40,19,14,9,8,6,3,3,2,2,1,2,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
40,19,14,9,8,6,3,3,2,2,1,2,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
40,19,14,9,8,6,3,3,2,2,1,2,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
40,19,14,9,8,6,3,3,2,2,1,2,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
40,19,14,9,8,6,3,3,2,2,1,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
41,19,14,9,9,6,3,3,2,2,1,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
41,19,14,9,9,6,3,3,2,2,1,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
41,19,14,9,9,6,3,3,2,2,1,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
41,19,14,9,9,6,3,3,2,2,1,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
41,19,14,9,9,6,3,3,2,2,1,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
41,19,14,9,9,6,3,3,2,2,1,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
41,19,14,9,9,6,3,3,2,2,1,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
41,19,14,9,9,6,3,3,2,2,1,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
41,19,14,9,9,6,3,3,2,2,1,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
42,20,14,10,9,6,3,3,2,2,1,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
42,20,14,10,9,6,3,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
42,20,14,10,9,6,3,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
42,20,14,10,9,6,3,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
42,20,14,10,9,6,3,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
42,20,14,10,9,6,3,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
42,20,14,10,9,6,3,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
42,20,14,10,9,6,3,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
42,20,14,10,9,6,3,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
42,20,15,10,9,6,3,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
43,20,15,10,9,6,3,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
43,20,15,10,9,6,3,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
43,20,15,10,9,6,3,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
43,20,15,10,9,6,3,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
43,20,15,10,9,6,3,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
43,20,15,10,9,6,3,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
43,20,15,10,9,6,3,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
43,20,15,10,9,6,3,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
43,20,15,10,9,6,3,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
44,21,15,10,9,6,3,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
44,21,15,10,9,6,3,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
44,21,15,10,9,6,3,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
44,21,15,10,9,6,3,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
44,21,15,10,9,6,3,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
44,21,15,10,9,6,3,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
44,21,15,10,9,6,3,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
44,21,15,10,9,6,3,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
44,21,15,10,9,6,3,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
45,21,15,10,9,6,3,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
45,21,15,10,9,6,3,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
45,21,15,10,9,6,3,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
45,21,15,10,9,6,3,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
45,21,15,10,9,6,3,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
45,21,15,10,9,6,3,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
45,21,15,10,9,6,3,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
45,21,15,10,9,6,3,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
45,21,15,10,9,6,3,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
45,21,15,10,9,6,3,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
46,22,16,11,10,6,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
46,22,16,11,10,6,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
46,22,16,11,10,6,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
46,22,16,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
46,22,16,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
46,22,16,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
46,22,16,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
46,22,16,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
46,22,16,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
46,22,16,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
47,22,16,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
47,22,16,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
47,22,16,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
47,22,16,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
47,22,16,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
47,22,16,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
47,22,16,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
47,22,16,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
47,22,16,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
48,23,16,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
48,23,16,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
48,23,16,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
48,23,16,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
48,23,16,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
48,23,16,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
48,23,16,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
48,23,16,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
48,23,16,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
49,23,16,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
49,23,16,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
49,23,16,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
49,23,16,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
49,23,16,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
49,23,16,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
49,23,16,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
49,23,16,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
